Unnamed: 0,name,nation,club,position,alternative positions,age,overall,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,height,weight,preferred foot,weak foot,league,att work rate,def work rate,skill moves,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Gender
10,Caroline Graham Hansen,Norway,FC Barcelona,RW,"RW, RM",29,90,89,86,88,90,47,75,90,88,87,86,88,89,83,71,89,90,77,89,84,90,94,75,83,90,93,84,35,71,45,50,46,84,84,74,66,"178CM / 5'10""FT",66KG / 146LBS,Right,4,Liga F,High,Medium,5,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/caroline-graham-hansen/227102,,,,,,F
11,Robert Lewandowski,Poland,FC Barcelona,ST,"ST, CF",36,90,75,91,80,87,44,84,76,75,94,93,91,84,89,90,81,76,85,84,70,79,77,83,93,90,86,88,49,91,35,42,19,92,76,89,81,"185CM / 6'1""FT",81KG / 179LBS,Right,4,LALIGA EA SPORTS,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/robert-lewandowski/188545,,,,,,M
12,Mohamed Salah,Egypt,Liverpool,RW,"RW, RM",32,89,89,87,81,88,45,76,89,89,92,92,82,84,83,81,84,80,69,84,77,84,89,91,93,86,88,90,55,59,38,43,41,80,87,75,63,"175CM / 5'9""FT",71KG / 157LBS,Left,3,Premier League,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mohamed-salah/209331,,,,,,M
13,Kadidiatou Diani,France,OL,RW,"RW, ST, RM",29,89,89,85,83,88,56,77,88,90,91,90,79,86,74,71,85,84,70,87,74,74,89,84,87,90,88,84,55,81,46,59,49,86,81,84,52,"168CM / 5'6""FT",64KG / 141LBS,Right,4,D1 Arkema,High,High,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kadidiatou-diani/227361,,,,,,F
14,Mapi León,Spain,FC Barcelona,CB,CB,29,89,75,74,81,76,90,81,73,77,70,65,89,87,49,64,56,86,88,88,90,87,70,86,90,82,68,91,90,83,91,91,90,87,75,83,84,"169CM / 5'7""FT",59KG / 130LBS,Left,3,Liga F,High,High,2,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mapi-leon/236479,,,,,,F
15,Rúben Dias,Portugal,Manchester City,CB,CB,27,89,62,39,66,69,89,87,54,69,39,29,74,26,32,45,51,54,48,83,76,46,60,56,89,75,64,81,86,87,91,91,87,84,78,90,93,"187CM / 6'2""FT",82KG / 181LBS,Right,4,Premier League,Medium,High,2,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ruben-dias/239818,,,,,,M
16,Vini Jr.,Brazil,Real Madrid,LW,"LW, LM",24,89,95,82,78,90,29,68,95,95,87,89,76,80,72,65,81,78,62,80,77,77,94,84,86,90,92,79,26,50,32,25,18,74,84,64,58,"176CM / 5'9""FT",73KG / 161LBS,Right,4,LALIGA EA SPORTS,High,High,5,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/vini-jr/238794,,,,,,M
17,Rodri,Spain,Manchester City,CDM,"CDM, CM",28,89,58,73,80,80,85,84,54,62,75,64,91,82,59,62,82,63,61,89,90,65,65,64,89,88,79,85,84,81,88,87,78,80,89,83,83,"191CM / 6'3""FT",82KG / 181LBS,Right,4,Premier League,Medium,High,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rodri/231866,,,,,,M
18,Rodri,Spain,Manchester City,CDM,"CDM, CM",28,89,58,73,80,80,85,84,54,62,75,64,91,82,59,62,82,63,61,89,90,65,65,64,89,88,79,85,84,81,88,87,78,80,89,83,83,"191CM / 6'3""FT",82KG / 181LBS,Right,4,Premier League,Medium,High,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rodri/231866,,,,,,M
19,Neymar Jr,Brazil,Al Hilal,LW,"LW, LM",32,89,86,83,85,93,37,61,88,85,86,83,79,81,86,91,90,83,87,85,81,88,93,83,88,94,95,93,37,63,35,32,29,72,78,51,63,"175CM / 5'9""FT",68KG / 150LBS,Right,5,ROSHN Saudi League,High,Medium,5,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/neymar-jr/190871,,,,,,M
20,Alex Morgan,United States,San Diego Wave,ST,"ST, CF",35,89,83,89,80,88,47,77,82,84,90,94,90,80,83,88,75,71,73,89,82,68,83,67,82,92,89,91,46,84,41,43,39,90,87,81,53,"168CM / 5'6""FT",62KG / 137LBS,Left,5,NWSL,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alex-morgan/226301,,,,,,F
21,Marc-André ter Stegen,Germany,FC Barcelona,GK,GK,32,89,86,85,89,91,47,86,45,50,11,14,67,10,14,25,70,18,12,61,63,18,39,43,85,30,21,70,22,11,25,13,10,72,35,78,43,"187CM / 6'2""FT",85KG / 187LBS,Right,4,LALIGA EA SPORTS,Medium,Medium,1,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marc-andre-ter-stegen/192448,86.0,85.0,89.0,86.0,91.0,M
22,Virgil van Dijk,Holland,Liverpool,CB,CB,33,89,78,60,71,72,89,86,66,87,47,52,81,64,45,62,65,53,70,79,86,60,59,50,88,76,70,89,88,86,90,91,86,89,72,93,85,"193CM / 6'4""FT",92KG / 203LBS,Right,3,Premier League,Medium,High,2,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/virgil-van-dijk/203376,,,,,,M
23,Alisson,Brazil,Liverpool,GK,GK,31,89,86,85,85,89,56,90,60,49,13,13,64,14,20,23,66,17,18,60,58,19,40,37,87,42,27,66,11,29,15,19,16,82,32,78,27,"193CM / 6'4""FT",91KG / 201LBS,Right,3,Premier League,Medium,Medium,1,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alisson/212831,86.0,85.0,85.0,90.0,89.0,M
24,Ada Hegerberg,Norway,OL,ST,"ST, CF",29,89,75,89,77,86,39,76,73,77,93,91,85,86,90,84,76,71,75,83,72,79,74,48,90,90,90,86,23,92,42,33,30,89,75,80,65,"176CM / 5'9""FT",68KG / 150LBS,Right,4,D1 Arkema,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ada-hegerberg/227310,,,,,,F
25,Casemiro,Brazil,Manchester Utd,CDM,CDM,32,89,63,75,79,73,89,88,60,66,77,69,88,81,68,66,79,68,74,84,85,77,61,65,90,79,69,85,89,84,90,89,88,85,88,88,91,"185CM / 6'1""FT",84KG / 185LBS,Right,3,Premier League,Medium,High,2,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/casemiro/200145,,,,,,M
26,Irene Paredes,Spain,FC Barcelona,CB,CB,33,88,69,51,67,68,89,80,65,72,39,51,60,41,60,51,51,59,40,85,68,69,66,65,91,79,57,75,89,85,92,87,88,79,72,82,87,"177CM / 5'10""FT",62KG / 137LBS,Right,3,Liga F,Medium,High,2,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/irene-paredes/227190,,,,,,F
27,Bruno Fernandes,Portugal,Manchester Utd,CAM,"CAM, CM",30,88,71,86,90,83,69,77,74,68,88,83,88,88,87,90,94,87,85,90,92,86,78,79,91,88,81,82,66,66,69,74,65,73,95,66,84,"179CM / 5'10""FT",69KG / 152LBS,Right,3,Premier League,High,High,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bruno-fernandes/212198,,,,,,M
28,Wendie Renard,France,OL,CB,CB,34,88,53,67,69,69,91,84,53,53,70,65,80,60,55,67,59,53,58,80,84,65,53,34,87,75,69,84,89,94,92,92,81,81,72,91,84,"187CM / 6'2""FT",70KG / 154LBS,Right,3,D1 Arkema,High,Medium,2,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wendie-renard/227316,,,,,,F
29,Antoine Griezmann,France,Atlético de Madrid,ST,"ST, CF",33,88,80,88,87,88,58,75,80,80,90,90,85,87,85,79,88,82,85,89,86,89,89,84,90,89,88,89,57,85,45,63,60,85,86,69,74,"176CM / 5'9""FT",73KG / 161LBS,Left,3,LALIGA EA SPORTS,High,High,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/antoine-griezmann/194765,,,,,,M
30,Victor Osimhen,Nigeria,Napoli FC,ST,"ST, CF",25,88,90,86,66,83,42,82,87,92,90,91,86,77,83,75,70,62,52,74,54,63,78,68,89,86,83,80,34,84,36,45,22,94,81,86,68,"185CM / 6'1""FT",78KG / 172LBS,Right,4,Serie A TIM,High,Medium,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/victor-osimhen/232293,,,,,,M
31,Alexandra Popp,Germany,VfL Wolfsburg,ST,"ST, LM, CF",33,88,73,87,76,82,52,88,72,73,91,86,91,85,88,86,74,74,73,83,64,73,71,84,88,85,81,82,44,94,45,52,48,93,85,91,84,"174CM / 5'9""FT",65KG / 143LBS,Left,5,GPFBL,High,High,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexandra-popp/226302,,,,,,F
32,Debinha,Brazil,KC Current,CAM,"CAM, RM",32,88,84,81,87,91,46,68,83,84,87,82,80,78,86,78,90,85,80,87,85,89,90,94,77,91,93,84,49,56,49,39,44,72,81,61,70,"155CM / 5'1""FT",52KG / 115LBS,Right,5,NWSL,High,Medium,5,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/debinha/226893,,,,,,F
33,Bernardo Silva,Portugal,Manchester City,CM,"CM, RW",30,88,69,78,86,92,70,69,78,61,85,78,79,79,78,68,87,84,67,91,82,84,95,92,89,91,92,89,73,54,70,76,60,66,93,54,78,"173CM / 5'8""FT",64KG / 141LBS,Left,3,Premier League,High,High,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bernardo-silva/218667,,,,,,M
34,Federico Valverde,Uruguay,Real Madrid,CM,"CM, RW",26,88,88,82,84,84,80,82,84,91,86,79,89,87,70,59,86,78,69,87,88,74,77,68,89,88,83,84,83,59,79,85,79,80,89,80,81,"182CM / 6'0""FT",78KG / 172LBS,Right,4,LALIGA EA SPORTS,High,High,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/federico-valverde/239053,,,,,,M
35,Sophia Smith,United States,Portland Thorns,ST,"ST, RW, CF",24,88,93,85,78,88,45,82,92,93,88,88,84,81,80,78,74,73,72,86,75,74,84,86,89,91,88,74,43,79,41,42,39,92,93,82,68,"164CM / 5'5""FT",58KG / 128LBS,Right,5,NWSL,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sophia-smith/264012,,,,,,F
36,Ederson,Brazil,Manchester City,GK,GK,31,88,86,82,91,86,64,86,64,63,20,14,68,18,18,51,70,20,20,61,65,15,60,48,87,40,23,70,27,14,29,15,8,79,44,78,38,"188CM / 6'2""FT",86KG / 190LBS,Left,3,Premier League,Medium,Medium,1,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ederson/210257,86.0,82.0,91.0,86.0,86.0,M
37,Guro Reiten,Norway,Chelsea,LW,"LW, CAM, LM",30,88,88,80,86,86,60,63,86,89,88,82,81,82,61,69,87,93,80,86,82,74,92,89,89,86,84,88,65,50,60,60,57,66,92,50,58,"167CM / 5'6""FT",60KG / 132LBS,Left,3,Barclays WSL,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/guro-reiten/227323,,,,,,F
38,Joshua Kimmich,Germany,FC Bayern München,CDM,"CDM, RB, CM",29,88,70,74,88,84,82,79,77,65,80,68,78,83,69,69,85,91,76,88,91,85,84,84,88,85,82,86,85,72,82,84,78,78,94,68,88,"177CM / 5'10""FT",75KG / 165LBS,Right,4,Bundesliga,High,Medium,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joshua-kimmich/212622,,,,,,M
39,Jan Oblak,Slovenia,Atlético de Madrid,GK,GK,31,88,85,90,78,87,46,86,42,53,11,11,59,12,13,11,67,13,14,43,40,13,64,48,85,30,12,68,24,15,27,14,18,72,42,78,36,"188CM / 6'2""FT",87KG / 192LBS,Right,3,LALIGA EA SPORTS,Medium,Medium,1,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jan-oblak/200389,85.0,90.0,78.0,86.0,87.0,M
40,Christiane Endler,Chile,OL,GK,GK,33,88,87,82,84,90,42,89,46,35,10,15,63,17,8,13,69,15,11,31,35,17,39,42,83,22,15,45,15,13,15,11,12,60,35,46,21,"183CM / 6'0""FT",73KG / 161LBS,Left,3,D1 Arkema,Medium,Medium,1,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/christiane-endler/245956,87.0,82.0,84.0,89.0,90.0,F
41,Marie Katoto,France,Paris SG,ST,"ST, CF",25,88,83,88,77,84,39,71,85,82,91,90,86,85,91,82,79,71,72,85,70,71,80,65,85,87,84,85,27,91,37,35,30,93,72,80,44,"177CM / 5'10""FT",66KG / 146LBS,Right,4,D1 Arkema,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marie-katoto/246272,,,,,,F
42,Patri Guijarro,Spain,FC Barcelona,CM,"CM, CDM",26,88,78,82,83,86,81,72,77,78,80,80,89,91,58,70,83,69,66,90,93,75,77,82,85,90,86,84,83,84,80,81,80,86,78,75,55,"170CM / 5'7""FT",64KG / 141LBS,Right,4,Liga F,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/patri-guijarro/237289,,,,,,F
43,Fridolina Rolfö,Sweden,FC Barcelona,LB,"LB, LW, LWB",30,87,82,82,82,87,83,80,84,81,84,82,85,81,81,71,82,82,63,90,75,74,77,68,87,90,90,81,83,78,83,85,80,86,81,91,50,"178CM / 5'10""FT",65KG / 143LBS,Left,5,Liga F,High,High,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/fridolina-rolfo/227013,,,,,,F
44,Luka Modrić,Croatia,Real Madrid,CM,CM,39,87,72,76,89,87,72,66,75,70,76,72,79,82,76,83,91,86,78,91,92,85,92,92,85,90,84,92,80,55,70,73,72,67,83,58,62,"172CM / 5'8""FT",66KG / 146LBS,Right,4,LALIGA EA SPORTS,Medium,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luka-modric/177003,,,,,,M
45,Lucy Bronze,England,FC Barcelona,RB,"RB, RWB",32,87,73,68,80,80,85,88,73,73,73,55,85,79,66,62,73,85,72,82,81,88,78,70,85,81,79,87,83,83,85,84,89,84,89,90,82,"171CM / 5'7""FT",65KG / 143LBS,Right,3,Liga F,High,High,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lucy-bronze/227246,,,,,,F
46,Frenkie de Jong,Holland,FC Barcelona,CM,CM,27,87,82,69,86,87,77,78,80,83,77,72,68,66,70,53,88,78,64,91,89,84,87,79,88,89,87,90,82,72,76,76,77,82,89,74,74,"181CM / 5'11""FT",74KG / 163LBS,Right,3,LALIGA EA SPORTS,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/frenkie-de-jong/228702,,,,,,M
47,Lautaro Martínez,Argentina,Inter,ST,"ST, CF",27,87,80,86,71,85,48,85,83,77,90,90,85,78,91,74,78,58,54,75,73,78,86,89,88,86,84,86,45,86,55,31,44,93,80,84,90,"174CM / 5'9""FT",72KG / 159LBS,Right,4,Serie A TIM,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lautaro-martinez/231478,,,,,,M
48,Beth Mead,England,Arsenal,RW,"RW, LW, RM",29,87,81,84,84,87,67,73,80,81,87,85,87,87,73,68,87,88,88,85,74,81,72,84,89,90,90,82,73,68,61,69,68,83,81,84,31,"163CM / 5'4""FT",58KG / 128LBS,Right,4,Barclays WSL,High,High,5,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/beth-mead/245802,,,,,,F
49,Ewa Pajor,Poland,VfL Wolfsburg,ST,"ST, CF",27,87,85,89,63,89,21,69,86,85,90,93,85,85,89,89,71,47,66,74,49,64,90,83,79,90,89,89,20,74,18,12,10,87,82,79,23,"167CM / 5'6""FT",61KG / 134LBS,Right,3,GPFBL,High,Low,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ewa-pajor/241846,,,,,,F
50,Martin Ødegaard,Norway,Arsenal,CAM,"CAM, CM",25,87,72,81,88,87,61,64,74,71,83,82,82,83,79,63,89,85,85,90,87,83,85,82,84,89,86,86,66,55,67,55,54,66,81,56,64,"178CM / 5'10""FT",68KG / 150LBS,Left,2,Premier League,High,Medium,5,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/martin-degaard/222665,,,,,,M
51,Mike Maignan,France,Milan,GK,GK,29,87,85,82,87,89,51,85,50,53,15,15,65,20,16,15,65,18,16,65,61,38,41,56,85,40,31,68,25,17,23,16,19,75,39,78,35,"191CM / 6'3""FT",89KG / 196LBS,Right,4,Serie A TIM,Medium,Medium,1,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mike-maignan/215698,85.0,82.0,87.0,85.0,89.0,M
52,Lena Oberdorf,Germany,VfL Wolfsburg,CDM,"CDM, CB",22,87,58,61,77,76,87,89,70,48,72,52,80,60,57,53,84,64,63,82,80,62,71,80,85,82,71,82,86,78,88,90,89,87,82,91,92,"174CM / 5'9""FT",68KG / 150LBS,Right,3,GPFBL,Medium,Medium,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lena-oberdorf/248717,,,,,,F
53,Lina Magull,Germany,FC Bayern München,CAM,"CAM, CM",30,87,81,74,84,86,57,68,84,79,84,72,70,79,76,72,90,73,78,90,83,78,91,89,85,91,83,75,76,56,45,60,48,72,85,60,65,"166CM / 5'5""FT",54KG / 119LBS,Right,3,GPFBL,High,Medium,5,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lina-magull/233837,,,,,,F
54,Marquinhos,Brazil,Paris SG,CB,CB,30,87,78,56,75,74,89,80,76,80,70,59,65,45,35,52,76,68,32,84,85,58,68,67,86,79,69,86,89,88,90,89,88,89,83,78,81,"183CM / 6'0""FT",75KG / 165LBS,Right,3,Ligue 1 Uber Eats,Medium,High,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marquinhos/207865,,,,,,M
55,Marquinhos,Brazil,Paris SG,CB,CB,30,87,78,56,75,74,89,80,76,80,70,59,65,45,35,52,76,68,32,84,85,58,68,67,86,79,69,86,89,88,90,89,88,89,83,78,81,"183CM / 6'0""FT",75KG / 165LBS,Right,3,Ligue 1 Uber Eats,Medium,High,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marquinhos/207865,,,,,,M
56,Marquinhos,Brazil,Paris SG,CB,CB,30,87,78,56,75,74,89,80,76,80,70,59,65,45,35,52,76,68,32,84,85,58,68,67,86,79,69,86,89,88,90,89,88,89,83,78,81,"183CM / 6'0""FT",75KG / 165LBS,Right,3,Ligue 1 Uber Eats,Medium,High,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marquinhos/207865,,,,,,M
57,Marquinhos,Brazil,Paris SG,CB,CB,30,87,78,56,75,74,89,80,76,80,70,59,65,45,35,52,76,68,32,84,85,58,68,67,86,79,69,86,89,88,90,89,88,89,83,78,81,"183CM / 6'0""FT",75KG / 165LBS,Right,3,Ligue 1 Uber Eats,Medium,High,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marquinhos/207865,,,,,,M
58,Gregor Kobel,Switzerland,Borussia Dortmund,GK,GK,26,87,86,84,74,89,44,85,38,52,10,10,56,10,10,12,59,13,12,39,33,13,37,29,85,34,24,66,14,13,15,15,15,71,30,81,24,"195CM / 6'5""FT",88KG / 194LBS,Right,3,Bundesliga,Medium,Medium,1,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gregor-kobel/235073,86.0,84.0,74.0,85.0,89.0,M
59,Heung Min Son,Korea Republic,Spurs,LW,"LW, LM",32,87,87,88,80,84,42,70,85,88,90,89,88,89,79,73,81,83,74,82,72,87,81,74,89,82,87,87,39,68,47,34,33,78,88,64,62,"183CM / 6'0""FT",78KG / 172LBS,Right,5,Premier League,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/heung-min-son/200104,,,,,,M
60,Rose Lavelle,United States,OL Reign,CAM,"CAM, RM",29,87,86,78,84,87,45,65,85,86,85,81,74,78,68,74,86,74,69,91,85,72,80,85,84,87,90,79,48,44,41,48,45,65,80,58,63,"163CM / 5'4""FT",56KG / 123LBS,Left,4,NWSL,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rose-lavelle/232075,,,,,,F
61,Sandra Paños,Spain,FC Barcelona,GK,GK,31,87,86,82,84,89,56,87,54,58,14,11,63,17,17,27,34,16,25,23,18,22,54,69,82,20,11,56,19,20,22,18,14,72,41,64,19,"169CM / 5'7""FT",65KG / 143LBS,Right,3,Liga F,Medium,Medium,1,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sandra-panos/227776,86.0,82.0,84.0,87.0,89.0,F
62,Gianluigi Donnarumma,Italy,Paris SG,GK,GK,25,87,90,82,79,89,52,83,50,55,14,12,59,18,8,24,60,12,14,36,34,12,64,38,84,30,28,65,26,12,20,14,16,71,34,72,30,"196CM / 6'5""FT",90KG / 198LBS,Right,3,Ligue 1 Uber Eats,Medium,Medium,1,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gianluigi-donnarumma/230621,90.0,82.0,79.0,83.0,89.0,M
63,Manuel Neuer,Germany,FC Bayern München,GK,GK,38,87,84,85,90,84,49,88,48,50,12,13,68,16,11,47,70,15,11,60,68,14,51,35,84,46,30,70,30,25,17,10,11,77,43,80,29,"193CM / 6'4""FT",93KG / 205LBS,Right,4,Bundesliga,Medium,Medium,1,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/manuel-neuer/167495,84.0,85.0,90.0,88.0,84.0,M
64,Ousmane Dembélé,France,Paris SG,RW,"RW, LW, RM",27,86,93,77,81,87,36,57,94,93,80,75,83,76,76,75,83,86,64,80,76,82,90,81,80,87,89,81,36,43,42,30,33,65,68,52,54,"178CM / 5'10""FT",67KG / 148LBS,Left,5,Ligue 1 Uber Eats,High,Medium,5,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ousmane-dembele/231443,,,,,,M
65,Selma Bacha,France,OL,LB,"LB, LW, LWB",23,86,87,72,84,82,79,78,92,83,80,65,92,72,49,60,79,92,70,87,77,88,94,87,77,81,80,84,80,58,76,84,87,79,91,71,78,"161CM / 5'3""FT",58KG / 128LBS,Left,3,D1 Arkema,High,High,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/selma-bacha/265674,,,,,,F
66,Mary Earps,England,Manchester Utd,GK,GK,31,86,83,83,83,85,41,85,44,36,10,10,62,13,12,26,68,13,12,31,29,14,29,40,86,20,12,35,14,7,11,15,14,64,38,63,31,"173CM / 5'8""FT",68KG / 150LBS,Right,3,Barclays WSL,Medium,Medium,1,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mary-earps/247504,83.0,83.0,83.0,85.0,85.0,F
